team,team.id
Birmingham Southern,3
Florida Tech,53
Moorehouse College,60
St Mary's,117
Saginaw Valley State,129
Minnesota-Duluth,134
Millersville,210
Purdue Northwest,368
Nyack College,428
Centenary College,2113
Colorado College,2144
Eastern Eagles,2196
LeTourneau ,2326
Montreat,2410
New Mexico Highlands,2424
St Andrews University,2592
Trinity Christian,2652
Tuskegee University,2657
Wiley College,2728
Shenandoah University,2828
Sul Ross State,2834
Missouri Baptist,2880
Northwood University,2886
San Diego Christian,3096
Northern New Mexico,3141
Arizona Christian,3188
Bob Jones,3243